ticker,sector,industry,earnings_date,currency,curr_price_date,foll_price_date,current_price,following_price,percent_change,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
FITB,Financials,Banks,2017-12-31,USD,2018-01-05,2018-12-07,26.6273,22.5847,-0.151821626676381,2621000000,6872000000,4251000000,952000000,-649000000,2571000000,None,3084000000,None,3798000000,4489000000,691000000,3224000000,None,234000000,236000000,2979000000,799000000,691000000,2241000000,2194000000,3670000000,3906000000,2180000000,1480000000,1734000000,None,-116000000,66000000,236000000,231000000,None,399000000,2180000000,428000000,-1786000000,477000000,1605000000,1605000000,None,505000000,430000000,75000000,None,2490000000,0,-1605000000,None,122000000,None,142081000000,6129000000,2514000000,6129000000,54000000,None,6268000000,2003000000,2715000000,2472000000,27000000,2445000000,71829000000,1776000000,3615000000,84334000000,-24143000000,125861000000,4558000000,None,None,4558000000,4558000000,14874000000,None,14904000000,3125000000,None,19462000000,107882000000,2144000000,16200000000,5002000000,14957000000,2051000000,693804893
TLK,Communication Services,Diversified Telecommunication Services,2016-12-31,IDR,2017-01-06,2017-12-08,26.1291,27.8706,0.06664982720415163,68240000000000,116333000000000,48093000000000,48093000000000,39967000000000,3867000000000,0,5727000000,None,-1094000000000,-1006000000000,2810000000000,None,0,None,18556000000000,38166000000000,9017000000000,None,29149000000000,None,31160000000000,49716000000000,19333000000000,47231000000000,None,None,None,None,18556000000000,29223000000000,0,0,None,-27557000000000,-17905000000000,None,None,None,None,11213000000000,11213000000000,None,None,None,None,3259000000000,None,0,0,179343000000000,47701000000000,29767000000000,29767000000000,584000000000,None,131642000000000,114498000000000,0,3810000000000,3810000000000,428000000000,None,1847000000000,1310000000000,6058000000000,11707000000000,74067000000000,39762000000000,None,None,None,5432000000000,34305000000000,4010000000000,23015000000000,4774000000000,None,28447000000000,19113000000000,29000000000,84163000000000,-2541000000000,77033000000000,5040000000000,986385015
ED,Utilities,Multi-Utilities,2017-12-31,USD,2018-01-05,2018-12-07,69.5791,72.8233,0.04662607018486883,2209000000,12033000000,9824000000,6231000000,2774000000,2218000000,24000000,9260000000,111000000,-737000000,-8000000,729000000,4000000,-21000000,None,1341000000,1997000000,472000000,729000000,1525000000,1526000000,2726000000,4067000000,1525000000,3367000000,1192000000,None,-1850000000,-2327000000,-124000000,415000000,35000000,-5000000,1525000000,-3710000000,357000000,-477000000,None,None,None,804000000,803000000,None,343000000,1697000000,None,394000000,None,21000000,None,48111000000,3537000000,797000000,797000000,334000000,1159000000,49614000000,37600000000,201000000,559000000,131000000,428000000,929000000,2001000000,47000000,177000000,4973000000,32693000000,4902000000,1286000000,87000000,1875000000,0,13053000000,None,16029000000,1298000000,14731000000,16029000000,386000000,12719000000,15418000000,-1038000000,10235000000,34000000,309800000
ROK,Industrials,Electrical Equipment,2017-09-30,USD,2017-10-06,2018-09-07,167.2238,171.5901,0.026110517761227737,2667900000,6311300000,3643400000,3643400000,654300000,1557600000,348200000,1909200000,19600000,-76200000,19600000,76200000,60700000,80900000,138700000,30200000,1037400000,211700000,76200000,825700000,1185300000,1113600000,1143800000,825700000,1034000000,329100000,None,227100000,83400000,168900000,141700000,53000000,30400000,825700000,-516700000,-649600000,-98200000,342600000,342600000,None,390700000,390700000,None,None,0,None,-160700000,None,-115500000,16800000,7161700000,4420700000,1410900000,2535500000,558700000,1135500000,2297400000,583900000,1511900000,1315700000,238000000,1077700000,1387600000,325700000,1124600000,191000000,72100000,4498100000,2145800000,623200000,None,600400000,350400000,2429700000,None,1493400000,250000000,1243400000,1843800000,220200000,216400000,2663600000,4080000000,6103400000,181400000,128400000
MTD,Health Care,Life Sciences Tools & Services,2017-12-31,USD,2018-01-05,2018-12-07,637.35,590.78,-0.07306817290342833,1575751000,2725053000,1149302000,1151740000,601141000,794861000,128308000,968778000,None,-32785000,None,32785000,3394000,9868000,33458000,42671000,574222000,198250000,32785000,375972000,465564000,607007000,649678000,375972000,516325000,155726000,None,40472000,58916000,44958000,127426000,38985000,13680000,375972000,-217344000,-319530000,None,399997000,399997000,None,None,None,None,None,None,None,-371348000,None,-9987000,10562000,2511907000,927372000,98949000,98949000,278318000,483919000,1544205000,696890000,None,769511000,224727000,544784000,2300000,None,None,None,76417000,1951160000,636882000,164639000,130704000,None,489725000,1314278000,None,503873000,None,978715000,993598000,None,288874000,560747000,3481032000,3526355000,448000,25392875
APTV,Consumer Discretionary,Auto Components,2017-12-31,USD,2018-01-05,2018-12-07,89.5127,66.2278,-0.2601295682065226,2614000000,12884000000,10270000000,10270000000,1416000000,952000000,882000000,2564000000,15000000,-140000000,7000000,140000000,0,8000000,429000000,546000000,1578000000,223000000,140000000,1021000000,1686000000,1718000000,2264000000,1355000000,1468000000,566000000,None,268000000,698000000,553000000,698000000,287000000,224000000,1428000000,-1252000000,456000000,None,383000000,383000000,None,310000000,310000000,None,None,None,None,-383000000,None,758000000,86000000,12169000000,5641000000,1596000000,1596000000,1083000000,2662000000,6528000000,2804000000,1798000000,3163000000,1219000000,1944000000,185000000,147000000,91000000,521000000,470000000,8652000000,3540000000,2227000000,None,34000000,17000000,5112000000,None,4132000000,17000000,4132000000,4149000000,1296000000,526000000,3299000000,None,2118000000,3000000,265839794
TSN,Consumer Staples,Food Products,2017-09-30,USD,2017-10-06,2018-09-07,64.1276,58.3457,-0.09016242616283784,5062000000,38260000000,33198000000,33198000000,2921000000,2141000000,113000000,2586000000,7000000,-272000000,7000000,279000000,0,-21000000,642000000,107000000,2624000000,850000000,279000000,1778000000,1835000000,2921000000,3028000000,1774000000,2599000000,249000000,None,77000000,301000000,748000000,1069000000,55000000,246000000,1778000000,-4164000000,1530000000,778000000,860000000,860000000,None,319000000,319000000,None,None,5444000000,None,-706000000,None,-31000000,4000000,28066000000,6258000000,318000000,318000000,3239000000,1675000000,21808000000,5568000000,6374000000,15567000000,6243000000,9324000000,None,95000000,3000000,219000000,673000000,17525000000,4032000000,1698000000,None,906000000,906000000,13475000000,None,5714000000,906000000,None,5714000000,1424000000,1199000000,10541000000,3674000000,9776000000,45000000,366000000
ORAN,Communication Services,Diversified Telecommunication Services,2017-12-31,USD,2018-01-05,2018-12-07,13.9308,13.783,-0.010609584517759221,22621000000,41096000000,18475000000,18475000000,5518000000,8572000000,0,17103000000,None,-1652000000,-1561000000,1274000000,None,0,None,6846000000,3202000000,1088000000,None,2114000000,None,4268000000,11114000000,1906000000,10174000000,None,None,None,None,6846000000,7527000000,0,-14000000,None,-7941000000,-2738000000,None,None,None,None,1729000000,1729000000,None,None,None,None,-4000000,None,0,0,94714000000,20679000000,5810000000,5810000000,827000000,None,74035000000,26665000000,0,14339000000,14339000000,27095000000,None,3788000000,2865000000,1729000000,323000000,61772000000,29036000000,None,None,None,6311000000,32736000000,0,26293000000,6311000000,None,32604000000,9462000000,26814000000,30488000000,0,-2814000000,10640000000,2711501117
ZS,Information Technology,Software,2018-07-31,USD,2018-08-10,2019-07-12,38.19,81.87,1.1437549096622155,152299000,190174000,37875000,9400000,-34624000,147544000,39379000,186923000,2236000,2236000,2236000,0,190074000,79000,None,7988000,-32309000,1337000,0,-33646000,-33770000,-32309000,-24321000,-33646000,17307000,None,None,11006000,27627000,7988000,15170000,22559000,None,-33646000,-178103000,208397000,None,3811000,3811000,None,None,None,None,None,None,0,206518000,None,47601000,None,182902000,142909000,87978000,87978000,None,None,39993000,13139000,17304000,None,None,None,None,None,None,10469000,2661000,133067000,120459000,3763000,None,None,None,12608000,None,None,None,None,None,85468000,1457000,49835000,None,-162016000,18000,32359000
AME,Industrials,Electrical Equipment,2017-12-31,USD,2018-01-05,2018-12-07,71.6456,69.2988,-0.0327556751566042,580738000,4202141000,3621403000,2861370000,903620000,535180000,130400000,847272000,2100000,-98029000,-98029000,98029000,4300170000,-8862000,82000000,183227000,796729000,115259000,98029000,681470000,794683000,894758000,1077985000,681470000,833259000,327496000,None,2787000,24581000,183200000,75074000,24581000,-6087000,681470000,-625817000,-329171000,-9616000,6867000,6867000,None,82735000,82735000,None,None,0,None,-6867000,None,-70959000,50770000,7796064000,1934655000,646300000,646300000,540504000,668176000,5730319000,493296000,767972000,5128965000,2013365000,3115600000,8100000,239129000,None,79675000,5861409000,3768431000,1138663000,437329000,117058000,308123000,308123000,2693498000,None,2174289000,308123000,1866166000,2174289000,393211000,251076000,4027633000,1209135000,5002419000,2631000,231200000
PCAR,Industrials,Machinery,2017-12-31,USD,2018-01-05,2018-12-07,64.1043,49.5783,-0.22659946368652334,18281100000,19456400000,1175300000,16470800000,17128100000,42800000,264700000,1153000000,35300000,-5600000,-5600000,149600000,None,29700000,None,1107500000,2173300000,498100000,None,1675200000,2009700000,17128100000,18235600000,1675200000,2715800000,859400000,None,371200000,18500000,321400000,1855100000,-479200000,149900000,1675200000,-1964600000,-393800000,352100000,None,None,None,558300000,558300000,None,None,1670200000,None,39300000,None,449000000,91600000,23440200000,2364700000,2364700000,2364700000,928400000,None,2810700000,2464400000,None,117400000,93583100.84,117400000,48700000,9697100000,1367100000,404400000,944200000,15389700000,6181500000,None,653900000,None,2723700000,130000000,None,5945500000,2723700000,None,8879400000,1836900000,2278800000,8050500000,0,8369100000,351800000,352500000
WST,Health Care,Life Sciences Tools & Services,2017-12-31,USD,2018-01-05,2018-12-07,99.1951,104.884,0.05735061510094757,512900000,1599100000,1086200000,1086200000,225800000,246000000,39100000,285700000,1300000,-7800000,1300000,7800000,-1600000,3100000,94300000,2400000,231600000,80900000,7800000,150700000,220200000,225800000,241800000,150700000,263300000,11100000,None,12600000,43000000,96700000,130800000,39700000,3600000,150700000,-133600000,-109000000,None,74400000,74400000,None,39100000,39100000,None,None,None,None,-30500000,None,32900000,12200000,1862800000,743500000,235900000,235900000,215200000,253200000,1103200000,855000000,890800000,129400000,21700000,107700000,85800000,85800000,None,39200000,23400000,582900000,279500000,138100000,12900000,0,5016385.43,324700000,None,197000000,5016385.43,197000000,197000000,123000000,96000000,1279900000,109100000,1178200000,18800000,73900000
OKE,Energy,"Oil, Gas & Consumable Fuels",2017-12-31,USD,2018-01-05,2018-12-07,41.3746,46.6214,0.12681210211095698,2635862000,12173907000,9538045000,833586000,1391771000,114996000,None,911402000,None,-485658000,-326380000,485658000,924000,-9551000,None,11900000,835123000,447282000,485658000,387074000,393949000,1320781000,1332681000,387841000,1315412000,512243000,None,284100000,532780000,406335000,512393000,330521000,202259000,593519000,-567633000,-959461000,-495604000,None,None,None,829414000,829414000,None,471358000,1190496000,None,471358000,None,-211682000,None,16845937000,1764458000,37193000,37193000,342293000,1202951000,14875572000,12698126000,2861541000,993460000,312360000,681100000,1003156000,1003156000,None,53008000,180830000,11318070000,2667335000,1140571000,None,1047323000,614673000,8493250000,None,8500000000,432650000,8091629000,9114673000,179971000,348924000,5527867000,876713000,0,4232000,388703543
